timestamp,temperature,sys_load_1,cpu_percent,fan_rpm,cpu_freq
2018-05-10 19:40:38.937735,34,0.31,0.0088,641.0,2040.4785
2018-05-10 19:41:38.941702,34,0.35000000000000003,0.01,632.0,1687.5731250000001
2018-05-10 19:42:38.945462,34,0.23,0.0161,632.0,1823.6779999999999
2018-05-10 19:43:38.949468,35,0.16,0.01,644.0,1713.2678749999998
2018-05-10 19:44:38.953295,33,0.1,0.0149,655.0,1629.0409999999997
2018-05-10 19:45:38.957107,33,0.14,0.011200000000000002,635.0,1789.188125
2018-05-10 19:46:38.960741,35,0.09,0.0124,645.0,1690.7065000000002
2018-05-10 19:47:38.965345,34,0.14,0.0088,650.0,1604.3405
2018-05-10 19:48:38.969257,35,0.05,0.015,633.0,1870.2821250000002
2018-05-10 19:49:38.972998,34,0.17,0.009899999999999999,662.0,2369.676875
2018-05-10 19:50:38.976875,35,0.19,0.0075,643.0,1718.3146250000002
2018-05-10 19:51:38.981110,35,0.07,0.0075,646.0,1830.783375
2018-05-10 19:52:38.985169,34,0.06,0.0111,640.0,1655.806
2018-05-10 19:53:38.989136,34,0.02,0.01,637.0,1720.768875
2018-05-10 19:54:38.993144,35,0.05,0.011200000000000002,657.0,1682.2678749999998
2018-05-10 19:55:38.997285,35,0.08,0.015899999999999997,651.0,1620.616625
2018-05-10 19:56:39.001341,33,0.22,0.0088,631.0,1692.4366249999998
2018-05-10 19:57:39.005398,34,0.08,0.01,634.0,1666.972
2018-05-10 19:58:39.009483,34,0.06,0.0062,655.0,1640.4731250000002
2018-05-10 19:59:39.013321,33,0.1,0.0088,640.0,1671.47325
2018-05-10 20:00:39.017478,34,0.03,0.01,650.0,1775.296
2018-05-10 20:01:39.021608,34,0.12,0.0124,640.0,1666.6715
2018-05-10 20:02:39.025769,33,0.28,0.0125,645.0,1667.7081249999999
2018-05-10 20:03:39.029839,34,0.1,0.005,641.0,1700.5459999999998
2018-05-10 20:04:39.034265,33,0.03,0.0174,645.0,1610.758
2018-05-10 20:05:39.038124,34,0.25,0.015,645.0,1697.593625
2018-05-10 20:06:39.042004,33,0.12,0.013500000000000002,645.0,1878.2772499999999
2018-05-10 20:07:39.046065,35,0.30000000000000004,0.0088,636.0,2186.8833750000003
2018-05-10 20:08:39.050022,33,0.79,0.0138,638.0,1722.5743750000001
